"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"THE CABANA AT JENSEN DUNES","JENSEN BEACH","Martin","140","1","1","$0.00","1","0","0","1","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","5","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE CAMELLIA AT GULF BREEZE","GULF BREEZE","Santa Rosa","110","6","2","$10,000.00","8","0","2","6","0","0","1","Direct Part-Time","7","Arts and Crafts|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THE CANOPY AT BEACON WOODS","HUDSON","Pasco","80","0","0","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE CANOPY AT HICKORY CREEK","TITUSVILLE","Brevard","72","1","1","$5,000.00","9","0","1","7","0","1","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE CAPSTONE AT ROYAL PALM","ROYAL PALM BEACH","Palm Beach","114","8","1","$0.00","7","0","0","6","0","1","NR","NR","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE CARLISLE ASSISTED LIVING AND MEMORY CARE","LANTANA","Palm Beach","175","4","6","$2,000.00","29","0","3","21","0","5","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","8","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE CLAIR WINSTON HOUSE, LLC","MACCLENNY","Baker","5","0","0","$0.00","0","0","0","0","0","0","1","3rd Party 24hr","5","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","1","Other"
"THE CLUB AT BARTOW","BARTOW","Polk","36","3","2","$4,000.00","5","0","1","4","0","0","2","Direct Part-Time|3rd Party 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","1","Pet Therapy"
"THE CLUB AT BOYNTON BEACH","BOYNTON BEACH","Palm Beach","95","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE CLUB AT HAINES CITY","HAINES CITY","Polk","52","4","2","$9,435.00","13","0","1","10","1","1","1","3rd Party Part-Time","11","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","7","Audiology|Massage Therapy/Spa|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Other"
"THE CLUB AT LAKE WALES","LAKE WALES","Polk","60","3","2","$4,500.00","3","0","1","2","0","0","1","3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga","6","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Other"
"THE CLUB AT ST. CLOUD","SAINT CLOUD","Osceola","45","2","8","$25,900.00","25","0","1","22","1","1","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","5","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Other"
"THE CLUB AT WELLINGTON","WELLINGTON","Palm Beach","42","0","2","$6,000.00","4","0","0","2","1","1","1","3rd Party 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE COLLIER AT NAPLES","NAPLES","Collier","112","2","0","$0.00","8","0","0","8","0","0","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","3","Memory Care|Occupational Therapy|Pet Therapy"
"THE COLONNADE AT CARROLLWOOD","TAMPA","Hillsborough","120","0","1","$450.00","2","0","0","2","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
