"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"CAMERON ALF IV","TAMPA","Hillsborough","10","0","1","$0.00","0","0","0","0","0","0","4","Direct 24hr|Direct Part-Time|3rd Party 24hr|3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings|Theater and Movies","NR","NR"
"CAMINO DE ESPERANZA INC","MIAMI","Miami-Dade","6","0","0","$0.00","5","0","0","5","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","2","Occupational Therapy|Physical Therapy"
"CANALVIEW REST HOME","PORT ORANGE","Volusia","6","0","0","$0.00","15","0","0","14","0","1","1","3rd Party 24hr","4","Exercise Classes|Music Programs|Social Events/Outings|Theater and Movies","2","Massage Therapy/Spa|Pet Therapy"
"CANDID HOME CARE III, INC","MIAMI","Miami-Dade","6","2","3","$9,300.00","21","0","2","16","0","3","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs","NR","NR"
"CANOPY AT DUVAL STATION THE","JACKSONVILLE","Duval","72","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"CANOPY AT HARPER LAKE (THE)","LAKE CITY","Columbia","82","4","0","$0.00","3","0","0","3","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"CANOPY AT WALDEN WOODS,THE","PLANT CITY","Hillsborough","80","4","1","$500.00","16","0","0","13","0","3","1","Direct Part-Time","8","Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"CANTERBURY ARMS ASSISTED LIVING","SPRING HILL","Hernando","10","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","6","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Social Events/Outings|Other","1","Pet Therapy"
"CANTERBURY TOWERS INC","TAMPA","Hillsborough","17","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Social Events/Outings|Theater and Movies|Other","1","Pet Therapy"
"CANTERFIELD OF CLAY COUNTY","MIDDLEBURG","Clay","100","1","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"CANTERFIELD OF FORT MYERS, LLC","FORT MYERS","Lee","130","6","1","$1,000.00","6","0","0","6","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","1","Memory Care"
"CANTERFIELD OF OCALA LLC","OCALA","Marion","100","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","1","Memory Care"
"CANTERFIELD OF TALLAHASSEE, LLC","TALLAHASSEE","Leon","100","5","3","$6,300.00","14","0","2","10","2","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"CAPE AMERICAN FACILITY LLC","CAPE CORAL","Lee","4","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Theater and Movies","NR","NR"
"CAPE CHATEAU ASSISTED LIVING LLC","CAPE CORAL","Lee","29","0","1","$250.00","0","0","0","0","0","0","1","3rd Party 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CAPE CORAL ASSISTED LIVING FACILITY LLC","CAPE CORAL","Lee","6","0","0","$0.00","0","0","0","0","0","0","NR","NR","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"CAPE WEST LLC","CAPE CORAL","Lee","12","2","5","$5,500.00","34","0","0","31","1","2","1","3rd Party 24hr","3","Dancing|Exercise Classes|Social Events/Outings","1","Memory Care"
"CAPITAL SQUARE AT TALLAHASSEE ASSISTED LIVING AND MEMORY CARE","TALLAHASSEE","Leon","100","2","0","$0.00","5","0","0","5","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga","1","Memory Care"
"CAPRI ALF CORP","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CARE AND LOVE RETIREMENT HOME, LLC","HIALEAH","Miami-Dade","20","4","9","$13,400.00","26","0","3","21","2","0","1","None","5","Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"CARE WAY","CANTONMENT","Escambia","5","0","2","$0.00","8","0","0","6","0","2","1","None","3","Games/Cards|Shopping|Social Events/Outings","NR","NR"
"CAREGIVERS TOUCH ALF","TAMPA","Hillsborough","6","0","0","$0.00","1","0","0","1","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping","NR","NR"
"CAREGIVERS TOUCH ALF 2","TAMPA","Hillsborough","6","1","0","$0.00","1","0","0","1","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"CARING ANGELS HOME OF FLORIDA, INC","ROYAL PALM BEACH","Palm Beach","6","1","0","$0.00","7","0","0","4","3","0","1","None","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","NR","NR"
"CARING ASSISTED LIVING LLC","PORT SAINT LUCIE","St. Lucie","4","0","0","$0.00","0","0","0","0","0","0","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","NR","NR"
"CARING FOR YOU 1 ALF INC","CORAL GABLES","Miami-Dade","6","0","0","$0.00","4","0","0","4","0","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs","NR","NR"
"CARING HANDS ALF LLC","LEHIGH ACRES","Lee","5","0","1","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"CARING HANDS ASSISTED LIVING II","NORTH MIAMI","Miami-Dade","6","0","4","$1,750.00","9","0","0","7","0","2","1","None","3","Games/Cards|Gardening|Social Events/Outings","NR","NR"
"CARING HEARTS ASSISTED LIVING","DAYTONA BEACH","Volusia","6","0","0","$0.00","7","0","0","6","1","0","1","None","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CARING HEARTS ASSISTED LIVING, INC","MIAMI","Miami-Dade","6","0","0","$0.00","3","0","0","2","0","1","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","1","Memory Care"
"CARING HEARTS HELPING HANDS ASSISTED LIVING","CLERMONT","Lake","9","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"CARING VILLAGE AT FOREST GLEN LLC","NEW PORT RICHEY","Pasco","76","5","1","$500.00","30","0","0","24","4","2","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"CARING VILLAGE OF DAVIE","DAVIE","Broward","20","5","3","$4,500.00","25","0","1","20","2","2","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"CARING VILLAGE OF MARGATE","MARGATE","Broward","111","6","7","$9,150.00","21","0","0","16","2","3","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"CARINGTON MANOR","CRESTVIEW","Okaloosa","28","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","3","Arts and Crafts|Games/Cards|Music Programs","1","Memory Care"
"CARLISLE NAPLES","NAPLES","Collier","125","1","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"CARMEN'S GOODCARE ALF CORP","TAMPA","Hillsborough","6","0","0","$0.00","7","0","0","7","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"CARMITA'S ASSISTED LIVING FACILITY II LLC","ORLANDO","Orange","6","0","1","$500.00","9","0","0","6","2","1","NR","NR","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"CARMITA'S ASSISTING LIVING FACILITY III, LLC","ORLANDO","Orange","6","0","0","$0.00","4","0","0","4","0","0","1","Direct 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"CARMITA'S ASSISTING LIVING FACILITY IV LLC","ORLANDO","Orange","6","1","2","$6,500.00","10","0","0","9","0","1","1","Direct 24hr","NR","NR","NR","NR"
"CARMITA'S CARE ASSISTED LIVING FACILITY, LLC","ROCKLEDGE","Brevard","6","0","0","$0.00","2","0","0","2","0","0","NR","NR","6","Arts and Crafts|Dancing|Exercise Classes|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"CARMITA'S HOME HEALTH, INC","ORLANDO","Orange","6","0","1","$500.00","3","0","0","1","1","1","NR","NR","3","Dancing|Games/Cards|Music Programs","2","Occupational Therapy|Physical Therapy"
"CARMITAS CARE II LLC","MELBOURNE","Brevard","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party 24hr","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"CAROLINA'S CARE CENTER CORP","MIAMI LAKES","Miami-Dade","8","0","0","$0.00","14","0","0","14","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","NR","NR"
"CAROLINA'S CARE CENTER CORP #III","HIALEAH","Miami-Dade","6","0","1","$900.00","12","0","0","11","1","0","1","None","4","Arts and Crafts|Exercise Classes|Games/Cards|Shopping","1","Other"
"CAROLYN CLANTON ALF LLC","JENNINGS","Hamilton","20","0","0","$0.00","2","0","0","2","0","0","NR","NR","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"CARPS ASSISTED LIVING","WEST PALM BEACH","Palm Beach","21","3","2","$950.00","16","0","0","12","1","3","1","Direct 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Shopping","NR","NR"
"CARY & NICO TU CASITA FELIZ ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","2","0","0","1","0","1","2","3rd Party 24hr|3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Physical Therapy"
"CARY CRIST HOME CARE ALF, INC","MIAMI","Miami-Dade","6","0","0","$0.00","10","0","0","9","1","0","1","None","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"CASA AMOR 2 ALF LLC","HIALEAH","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"CASA DE CAMPO ALF LLC","HOMESTEAD","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings","NR","NR"
"CASA DE LOS ABUELOS ALF","TAMPA","Hillsborough","6","1","2","$800.00","11","0","0","8","0","3","1","3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Theater and Movies|Other","4","Massage Therapy/Spa|Occupational Therapy|Physical Therapy|Speech Therapy"
"CASA DE PAZ ALF, INC","MIAMI","Miami-Dade","6","0","3","$2,000.00","5","0","0","4","0","1","1","3rd Party 24hr","5","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards","NR","NR"
"CASA LORETO ASSISTED LIVING FACILITY INC","TAMPA","Hillsborough","8","0","0","$0.00","0","0","0","0","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"CASA MARISA II ALF, INC","MIAMI","Miami-Dade","6","1","1","$1,200.00","13","0","1","11","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"CASA SANTA MARTHA ALF INC","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","1","Pet Therapy"
"CASA SOL CORP","HIALEAH","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"CASABEL HOME CARE LLC","MIAMI","Miami-Dade","6","0","1","$1,000.00","10","0","1","9","0","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs","2","Occupational Therapy|Physical Therapy"
"CASABLANCA ELITE ADULT CARE LLC","PLANTATION","Broward","6","0","0","$0.00","0","0","0","0","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"CASALIA GARDENS","SPRING HILL","Hernando","6","0","0","$0.00","0","0","0","0","0","0","3","Direct 24hr|Direct Part-Time|3rd Party 24hr","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"CASCADE HEIGHTS","LONGWOOD","Seminole","75","0","0","$0.00","7","0","0","6","1","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"CASSIE'S CASTLE","ROYAL PALM BEACH","Palm Beach","6","0","3","$2,500.00","16","0","0","10","1","5","1","None","4","Dancing|Exercise Classes|Games/Cards|Music Programs","1","Physical Therapy"
"CASSIE'S CASTLE II","ROYAL PALM BEACH","Palm Beach","6","0","0","$0.00","12","0","0","9","3","0","1","Direct 24hr","5","Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","2","Occupational Therapy|Physical Therapy"
"CASTLE COURT ALF INC","TAMPA","Hillsborough","73","4","0","$0.00","11","0","0","11","0","0","1","3rd Party 24hr","5","Arts and Crafts|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"CASTLEWOOD ASSISTED LIVING RESIDENCE","VERO BEACH","Indian River","24","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Gardening|Music Programs|Shopping|Social Events/Outings","2","Pet Therapy|Physical Therapy"
"CATALEYA HOME CARE INC","MIAMI","Miami-Dade","6","0","1","$1,000.00","9","0","1","7","0","1","1","3rd Party Part-Time","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs","2","Occupational Therapy|Physical Therapy"
"CAYMAN CIRCLE ADULT FAMILY CARE","WEST PALM BEACH","Palm Beach","5","0","2","$2,000.00","17","0","0","13","0","4","1","3rd Party Part-Time","8","Arts and Crafts|Cooking Classes|Dancing|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"CEDAR CREEK","CRYSTAL RIVER","Citrus","72","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"CEDAR CREEK ASSISTED LIVING, LLC","MERRITT ISLAND","Brevard","78","2","4","$7,000.00","24","0","0","23","0","1","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CENTER FOR INDEPENDENT LIVING (THE)","FORT PIERCE","St. Lucie","6","0","0","$0.00","1","0","0","0","0","1","2","Direct Part-Time|3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CENTRAL FLORIDA ELDER CARE LLC","KISSIMMEE","Osceola","6","0","0","$0.00","6","0","0","6","0","0","NR","NR","NR","NR","NR","NR"
"CENTRAL PALACE RESIDENTIAL","MIAMI","Miami-Dade","55","1","6","$16,550.00","10","0","1","9","0","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"CENTURY ASSISTED LIVING FACILITY, INC","MIAMI","Miami-Dade","8","1","1","$11,000.00","18","0","2","14","0","2","1","None","4","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs","NR","NR"
"CENTURY OAKS","MELBOURNE","Brevard","95","5","1","$4,000.00","16","0","1","13","1","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"CERTUS MTD OPCO, LLC","MOUNT DORA","Lake","70","2","1","$0.00","4","1","0","3","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"CERTUS OC OPCO LLC","ORANGE CITY","Volusia","64","0","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
